GEOID,unemployment_2019,unemployment_2020,delta_unemployment,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
05057,0.038178742504940875,0.05577199452842277,0.017593252023481894,Arkansas,Hempstead County,4470,2138,6848,2332,0.6527453271028038,0.31220794392523366,0.3405373831775701
05059,0.03634418189924209,0.06334704743465634,0.027002865535414255,Arkansas,Hot Spring County,9202,3082,12557,6120,0.7328183483316079,0.2454407899976109,0.487377558333997
05061,0.03251178333260371,0.05400902674703904,0.021497243414435332,Arkansas,Howard County,3367,1340,4834,2027,0.6965246172941664,0.2772031443938767,0.41932147290028965
05063,0.03989955779208664,0.06204035546684007,0.02214079767475343,Arkansas,Independence County,11250,2806,14512,8444,0.7752205071664829,0.1933572216097023,0.5818632855567807
05065,0.05479963353805436,0.08683618751081128,0.03203655397275692,Arkansas,Izard County,4631,1021,5810,3610,0.7970740103270224,0.1757314974182444,0.621342512908778
05067,0.06505793709686626,0.08020199907367288,0.015144061976806622,Arkansas,Jackson County,3593,1365,5091,2228,0.7057552543704577,0.26812021213906895,0.43763504223138877
05069,0.05480402671256951,0.08680137575236457,0.031997349039795064,Arkansas,Jefferson County,9521,14981,25158,-5460,0.37844820732967643,0.5954765879640671,-0.21702838063439067
05071,0.04561412043230446,0.06774661308364752,0.02213249265134306,Arkansas,Johnson County,6938,2283,9498,4655,0.7304695725415877,0.24036639292482628,0.4901031796167614
05073,0.046447163815833956,0.081664676786628,0.03521751297079405,Arkansas,Lafayette County,1757,839,2679,918,0.6558417319895483,0.3131765584173199,0.3426651735722284
05075,0.04165851750440055,0.06537580173866654,0.023717284234265994,Arkansas,Lawrence County,4569,1080,5857,3489,0.7800921973706676,0.18439474133515452,0.595697456035513
05077,0.04497191093855702,0.08132174334433777,0.03634983240578075,Arkansas,Lee County,1286,1423,2848,-137,0.4515449438202247,0.4996488764044944,-0.048103932584269704
05079,0.04377360082695188,0.06498595780811181,0.021212356981159933,Arkansas,Lincoln County,2729,1032,3875,1697,0.704258064516129,0.2663225806451613,0.43793548387096776
05081,0.04314797474854261,0.06788655077767612,0.024738576029133513,Arkansas,Little River County,3715,1226,5177,2489,0.7175970639366428,0.2368166892022407,0.4807803747344021
